"Materials Table.  Posted Version 1.0, 19-May-2025",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Added cost calculation,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Material ID,Material,Supplier,Category,Table Price,Unit 1,Unit 2,C1,C2,Size1,Size2,Calc Value,Modified,Comments
,"Plastic, PVC",Any,Raw Material,214.5,kg,,,,,,,2017-05-10 00:00:00,"Type I, Type II, CPVC, Expanded Rigid PVC"
,Rubber,Any,Raw Material,214.5,kg,,,,,,,2017-05-10 00:00:00,
,Silicon Carbide (or any ceramic),Any,Raw Material,0,kg,,,,,,,2017-05-10 00:00:00,Please submit an Add Item Request
,"Steel, Alloy",Any,Raw Material,146.25,kg,,,,,,,2017-05-10 00:00:00,"e.g. 4130, Chrome Moly, etc."
,"Steel, Mild",Any,Raw Material,146.25,kg,,,,,,,2017-05-10 00:00:00,"e.g. 1010, 1025 etc."
,"Steel, Stainless",Any,Raw Material,146.25,kg,,,,,,,2017-05-10 00:00:00,
,Titanium,Any,Raw Material,1430,kg,,,,,,,2017-05-10 00:00:00,e.g. Ti6Al4V
,"Wood, Hard",Any,Raw Material,0.26,cm^3,,,,,,,2017-05-10 00:00:00,"Oak, Maple, Birch"
,"Wood, Medium Density Fiberboard",Any,Raw Material,0.13,cm^3,,,,,,,2017-05-10 00:00:00,MDF
,"Wood, Soft",Any,Raw Material,0.2,cm^3,,,,,,,2017-05-10 00:00:00,"Balsa, Bass"
,Aluminum Metal Matrix Composite (per kg),Any,Raw Material (per kg),2145,kg,,,,,,,2017-05-10 00:00:00,
,"Aluminum, Normal (per kg)",Any,Raw Material (per kg),273,kg,,,,,,,2017-05-10 00:00:00,"e.g. 2024, 6061, A356, A380"
,"Aluminum, Premium (per kg)",Any,Raw Material (per kg),273,kg,,,,,,,2017-05-10 00:00:00,e.g. 7075
,Brass (per kg),Any,Raw Material (per kg),143,kg,,,,,,,2017-05-10 00:00:00,
,Bronze (per kg),Any,Raw Material (per kg),143,kg,,,,,,,2017-05-10 00:00:00,
,Copper (per kg),Any,Raw Material (per kg),143,kg,,,,,,,2017-05-10 00:00:00,
,"Foam, Expanding, Non-Structural (per kg)",Any,Raw Material (per kg),975,kg,,,,,,,2017-05-10 00:00:00,Expanding foam such as is used for seats.  Not to be used as core in a composite sandwhich panel.
,Iron (per kg),Any,Raw Material (per kg),65,kg,,,,,,,2017-05-10 00:00:00,
,Magnesium (per kg),Any,Raw Material (per kg),390,kg,,,,,,,2017-05-10 00:00:00,
,Nickel (per kg),Any,Raw Material (per kg),143,kg,,,,,,,2017-05-10 00:00:00,
,"Plastic, ABS (per kg)",Any,Raw Material (per kg),214.5,kg,,,,,,,2017-05-10 00:00:00,"PVC, Thermoplastic"
,"Plastic, Acetal (per kg)",Any,Raw Material (per kg),214.5,kg,,,,,,,2017-05-10 00:00:00,"Delrin, Turcite, Acetal Copolymer"
,"Plastic, Acrylic (per kg)",Any,Raw Material (per kg),214.5,kg,,,,,,,2017-05-10 00:00:00,"Extruded, Cast"
,"Plastic, Flouropolymers (per kg)",Any,Raw Material (per kg),214.5,kg,,,,,,,2017-05-10 00:00:00,"Teflon® PTFE, PTFE (polytetrafluoroethylene), ETFE (ethylene tetrafluoroethylene), PFA (perfluoroalkoxy fluorocarbon), CTFE (chlorotrifluoroethylene), PVDF (Kynar), ECTFE (Halar), FEP (fluorinated ethylene-propylene), Rulon®"
,"Plastic, Garolite (per kg)",Any,Raw Material (per kg),214.5,kg,,,,,,,2017-05-10 00:00:00,"Industrial Laminates, Phenolics, Thermosets"
,"Plastic, Nylon (per kg)",Any,Raw Material (per kg),214.5,kg,,,,,,,2017-05-10 00:00:00,"Nylon 6/6, Nylon 6/12"
,"Plastic, PEEK (per kg)",Any,Raw Material (per kg),214.5,kg,,,,,,,2017-05-10 00:00:00,
,"Plastic, Polycarbonate (per kg)",Any,Raw Material (per kg),214.5,kg,,,,,,,2017-05-10 00:00:00,
,"Plastic, Polyethelene (per kg)",Any,Raw Material (per kg),214.5,kg,,,,,,,2017-05-10 00:00:00,"LDPE (low density polyethylene), UHMW (ultra high molecular weight), HDPE (high density polyethylene), VHMW (very high molecular weight)"
,"Plastic, Polyoxymethylene (POM) (per kg)",Any,Raw Material (per kg),214.5,kg,,,,,,,2017-05-10 00:00:00,Delrin
,"Plastic, Polypropolene (per kg)",Any,Raw Material (per kg),214.5,kg,,,,,,,2017-05-10 00:00:00,
,"Plastic, PVC (per kg)",Any,Raw Material (per kg),214.5,kg,,,,,,,2017-05-10 00:00:00,"Type I, Type II, CPVC, Expanded Rigid PVC"
,Rubber (per kg),Any,Raw Material (per kg),214.5,kg,,,,,,,2017-05-10 00:00:00,
,"Steel, Alloy (per kg)",Any,Raw Material (per kg),146.25,kg,,,,,,,2017-05-10 00:00:00,"e.g. 4130, Chrome Moly, etc."
,"Steel, Mild (per kg)",Any,Raw Material (per kg),146.25,kg,,,,,,,2017-05-10 00:00:00,"e.g. 1010, 1025 etc."
