"Process Table.  Posted Version 1, 19-May-25",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Process ID,Process,Unit Cost,Unit,Category,Tooling Required,Near Net Shape,Multiplier Type Used,Modified,Comments
,Machining,2.6,cm^3,Material Removal,,,Machining,2017-05-10 00:00:00,"Machining can include roughing (1.5mm machine stock min., Tol +/- 0.5mm) and/or finishing (0.5mm machine stock min.).  All parts should include the minimum 1.5mm material stock except parts produced by ""near net shaped"" basic forming processes.  It is not necessary to break down rough and finish cuts, only use the correct minimum stock in the calculation of material removed."
,Mill - Form Cutter,6.5,cm,Material Removal,,,Machining,2017-05-10 00:00:00,0.5mm machine stock min.  Linear distance of cutter motion.
,Non-metallic cutting <= 25.4 mm,22.75,cut,Material Removal,,,Machining,2017-05-10 00:00:00,
,Non-metallic cutting <= 50.8 mm,45.5,cut,Material Removal,,,Machining,2017-05-10 00:00:00,
,Non-metallic cutting <= 76.2 mm,68.25,cut,Material Removal,,,Machining,2017-05-10 00:00:00,
,Non-metallic cutting > 76.2 mm,91,cut,Material Removal,,,Machining,2017-05-10 00:00:00,
,Plasma Cutting,6.5,cm,Material Removal,,,Machining,2017-05-10 00:00:00,
,Reemed hole,22.75,hole,Material Removal,,,Machining,2017-05-10 00:00:00,Reemed holes must first be drilled or machined
,Saw or tubing cuts,26,cm,Material Removal,,,Machining,2017-05-10 00:00:00,
,Tapping holes,22.75,hole,Material Removal,,,Drill & Tap,2017-05-10 00:00:00,
,"Threading, External (machining)",6.5,cm,Material Removal,,,,2017-05-10 00:00:00,"Linear distance of thread (length of bolt thread, not diameter)"
,"Threading, Internal (machining)",6.5,cm,Material Removal,,,,2017-05-10 00:00:00,"Linear distance of thread (length of bolt thread, not diameter)"
,Waterjet Cut,0.65,cm,Material Removal,,,Machining,2017-05-10 00:00:00,
,"Spinning, Metal",1.3,cm^3,Shaping,,,,2017-05-10 00:00:00,Cost based on the total volume created between the metal starting position and final position.
,Sheet metal bends,16.25,bend,Sheet Materials,,,,2017-05-10 00:00:00,
,Sheet metal punching,1.95,cm^2,Sheet Materials,,,,2017-05-10 00:00:00,
,Sheet Metal Saw Cut,13,cm,Sheet Materials,,,,2017-05-10 00:00:00,Includes linear saw cuts and hole saw cuts.  Linear cuts by linear distance and hole saw cuts by hole circumference.
,Sheet metal shearing,16.25,cut,Sheet Materials,,,,2017-05-10 00:00:00,
,Sheet metal stamping,1.95,cm^2,Sheet Materials,,,,2017-05-10 00:00:00,
,Tube bends,48.75,bend,Tubing,,,,2017-05-10 00:00:00,
,Tube cut,9.75,cm,Tubing,,,,2017-05-10 00:00:00,Use diameter of tube
,Tube end preperation for welding,48.75,end,Tubing,,,,2017-05-10 00:00:00,"Includes mitering, nothing, sanding, wire wheeling and surface prep.  All steps necessary for welding of one tube end except cutting and welding."
,Tube Flare/Bead,29.25,end,Tubing,,,,2017-05-10 00:00:00,"Form flare or bead for brake lines, cooling lines, etc. in hard lines"
,Weld - Round Tubing,24.7,cm,Tubing,,,,2017-05-10 00:00:00,Use diameter for dimension.  Ratio of pi included.
